		31	30	29	28	27	26	25	24	23	22	21	20	19	18	17	16	15	14	13	12	11	10	9	8	7	6	5	4	3	2	1	0
bx		cond				0	0	0	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	Rm			
blx		cond				0	0	0	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	Rm			
b		cond				1	0	1	0	imm																							
bl		cond				1	0	1	1	imm																							
																																	
stc		cond				1	1	0	P	U	N	W	0	Rn				CRd				cp_num				imm							
ldc		cond				1	1	0	P	U	N	W	1	Rn				CRd				cp_num				imm							
cdp		cond				1	1	1	0	op1				CRn				CRd				cp_num				op2			0	CRm			
mcr		cond				1	1	1	0	op1			0	CRn				Rd				cp_num				op2			1	CRm			
mrc		cond				1	1	1	0	op1			1	CRn				Rd				cp_num				op2			1	CRm			
																																	
swi		cond				1	1	1	1	imm																							
																																	
and	shift_imm	cond				0	0	0	0	0	0	0	S	Rn				Rd				shift					typ		0	Rm			
eor	shift_imm	cond				0	0	0	0	0	0	1	S	Rn				Rd				shift					typ		0	Rm			
sub	shift_imm	cond				0	0	0	0	0	1	0	S	Rn				Rd				shift					typ		0	Rm			
rsb	shift_imm	cond				0	0	0	0	0	1	1	S	Rn				Rd				shift					typ		0	Rm			
add	shift_imm	cond				0	0	0	0	1	0	0	S	Rn				Rd				shift					typ		0	Rm			
adc	shift_imm	cond				0	0	0	0	1	0	1	S	Rn				Rd				shift					typ		0	Rm			
sbc	shift_imm	cond				0	0	0	0	1	1	0	S	Rn				Rd				shift					typ		0	Rm			
rsc	shift_imm	cond				0	0	0	0	1	1	1	S	Rn				Rd				shift					typ		0	Rm			
tst	shift_imm	cond				0	0	0	1	0	0	0	1	Rn				0	0	0	0	shift					typ		0	Rm			
teq	shift_imm	cond				0	0	0	1	0	0	1	1	Rn				0	0	0	0	shift					typ		0	Rm			
cmp	shift_imm	cond				0	0	0	1	0	1	0	1	Rn				0	0	0	0	shift					typ		0	Rm			
cmn	shift_imm	cond				0	0	0	1	0	1	1	1	Rn				0	0	0	0	shift					typ		0	Rm			
orr	shift_imm	cond				0	0	0	1	1	0	0	S	Rn				Rd				shift					typ		0	Rm			
mov	shift_imm	cond				0	0	0	1	1	0	1	S	0	0	0	0	Rd				shift					typ		0	Rm			
